Panacota file name,GCF,strain
BUMA.1121.00001,GCF_001885195.1,Burkholderia pseudomallei  VB976100
BUMA.1121.00002,GCF_000755865.1,Burkholderia mallei  23344
BUMA.1121.00003,GCF_000959305.1,Burkholderia pseudomallei  MSHR668
BUMA.1121.00004,GCF_002346005.1,Burkholderia mallei  Turkey10
BUMA.1121.00005,GCF_001695735.1,Burkholderia pseudomallei  MS
BUMA.1121.00006,GCF_002346045.1,Burkholderia mallei  FMH
BUMA.1121.00007,GCF_001887555.1,Burkholderia pseudomallei  Burk178-Type1
BUMA.1121.00008,GCF_002346065.1,Burkholderia mallei  Turkey3
BUMA.1121.00009,GCF_001975065.1,Burkholderia pseudomallei  MSHR7929
BUMA.1121.00010,GCF_000755885.1,Burkholderia mallei  BMQ
BUMA.1121.00011,GCF_001975105.1,Burkholderia pseudomallei  MSHR5864
BUMA.1121.00012,GCF_002110945.1,Burkholderia pseudomallei  2008724734
BUMA.1121.00013,GCF_000959465.1,Burkholderia mallei  India86-567-2
BUMA.1121.00014,GCF_002110965.1,Burkholderia pseudomallei  2011756295
BUMA.1121.00015,GCF_000959625.1,Burkholderia mallei  2002721276
BUMA.1121.00016,GCF_002111045.1,Burkholderia pseudomallei  3000015237
BUMA.1121.00017,GCF_002346025.1,Burkholderia mallei  Turkey2
BUMA.1121.00018,GCF_002111105.1,Burkholderia pseudomallei  2002734728
BUMA.1121.00019,GCF_002346105.1,Burkholderia mallei  Turkey5
BUMA.1121.00020,GCF_002346085.1,Burkholderia mallei  Turkey4
BUMA.1121.00021,GCF_002111145.1,Burkholderia pseudomallei  2010007509
BUMA.1121.00022,GCF_000959405.1,Burkholderia mallei  11
BUMA.1121.00023,GCF_002111165.1,Burkholderia pseudomallei  2011756189
BUMA.1121.00024,GCF_002346125.1,Burkholderia mallei  Turkey6
BUMA.1121.00025,GCF_002111205.1,Burkholderia pseudomallei  2013746777
BUMA.1121.00026,GCF_000959485.1,Burkholderia mallei  2002734306
BUMA.1121.00027,GCF_002111225.1,Burkholderia pseudomallei  2013746811
BUMA.1121.00028,GCF_002346145.1,Burkholderia mallei  Turkey7
BUMA.1121.00029,GCF_002111245.1,Burkholderia pseudomallei  2013746877
BUMA.1121.00030,GCF_002345985.1,Burkholderia mallei  Turkey1
BUMA.1121.00031,GCF_002111265.1,Burkholderia pseudomallei  2013833057
BUMA.1121.00032,GCF_003933015.1,Burkholderia mallei  FDAARGOS_585
BUMA.1121.00033,GCF_002111285.1,Burkholderia pseudomallei  3000047530
BUMA.1121.00034,GCF_002346165.1,Burkholderia mallei  Turkey8
BUMA.1121.00035,GCF_002111305.1,Burkholderia pseudomallei  3000465972
BUMA.1121.00036,GCF_000959165.1,Burkholderia mallei  2002734299
BUMA.1121.00037,GCF_002111325.1,Burkholderia pseudomallei  2002721123
BUMA.1121.00038,GCF_002346205.1,Burkholderia mallei  JHU
BUMA.1121.00039,GCF_002111345.1,Burkholderia pseudomallei  2002721171
BUMA.1121.00040,GCF_001729545.1,Burkholderia mallei  Bahrain1
BUMA.1121.00041,GCF_002111365.1,Burkholderia pseudomallei  2008724758
BUMA.1121.00042,GCF_000755845.1,Burkholderia mallei  6
BUMA.1121.00043,GCF_002111385.1,Burkholderia pseudomallei  3000015486
BUMA.1121.00044,GCF_003933025.1,Burkholderia mallei  FDAARGOS_588
BUMA.1121.00045,GCF_002843645.1,Burkholderia pseudomallei  MSHR1435
BUMA.1121.00046,GCF_000959585.1,Burkholderia mallei  KC_1092
BUMA.1121.00047,GCF_002860065.1,Burkholderia pseudomallei  14M0960418
BUMA.1121.00048,GCF_000755785.1,Burkholderia mallei  FMH 23344
BUMA.1121.00049,GCF_003445415.1,Burkholderia pseudomallei  9
BUMA.1121.00050,GCF_000756025.1,Burkholderia mallei  2000031063
BUMA.1121.00051,GCF_003547035.1,Burkholderia pseudomallei  D286
BUMA.1121.00052,GCF_003933035.1,Burkholderia mallei  FDAARGOS_589
BUMA.1121.00053,GCF_003606245.1,Burkholderia pseudomallei  BPHN1
BUMA.1121.00054,GCF_003933045.1,Burkholderia mallei  FDAARGOS_590
BUMA.1121.00055,GCF_003798245.1,Burkholderia pseudomallei  FDAARGOS_593
BUMA.1121.00056,GCF_000756145.1,Burkholderia pseudomallei  1106a
BUMA.1121.00057,GCF_003798265.1,Burkholderia pseudomallei  FDAARGOS_592
BUMA.1121.00058,GCF_000755825.1,Burkholderia pseudomallei  BSR
BUMA.1121.00059,GCF_003798365.1,Burkholderia pseudomallei  FDAARGOS_594
BUMA.1121.00060,GCF_000756165.1,Burkholderia pseudomallei  MSHR1655
BUMA.1121.00061,GCF_004323015.1,Burkholderia pseudomallei  BPs110
BUMA.1121.00062,GCF_000757015.2,Burkholderia pseudomallei  PHLS 112
BUMA.1121.00063,GCF_004323035.1,Burkholderia pseudomallei  BPs111
BUMA.1121.00064,GCF_000954175.1,Burkholderia pseudomallei  vgh07human
BUMA.1121.00065,GCF_001277875.1,Burkholderia pseudomallei  vgh16R
BUMA.1121.00066,GCF_004348055.1,Burkholderia pseudomallei  BPs115
BUMA.1121.00067,GCF_001277975.1,Burkholderia pseudomallei  982
BUMA.1121.00068,GCF_001318245.1,Burkholderia pseudomallei  Bp1651
BUMA.1121.00069,GCF_004348075.1,Burkholderia pseudomallei  BPs116
BUMA.1121.00070,GCF_004367665.1,Burkholderia pseudomallei  BPs114
BUMA.1121.00071,GCF_004367685.1,Burkholderia pseudomallei  BPs123
BUMA.1121.00072,GCF_004367705.1,Burkholderia pseudomallei  BPs112
BUMA.1121.00073,GCF_004526325.1,Burkholderia pseudomallei  BPs122
BUMA.1121.00074,GCF_004842085.1,Burkholderia pseudomallei  HNBP001
BUMA.1121.00075,GCF_008728275.1,Burkholderia pseudomallei  Yap7
BUMA.1121.00076,GCF_008728375.1,Burkholderia pseudomallei  Yap1
BUMA.1121.00077,GCF_009749345.1,Burkholderia pseudomallei  B03
BUMA.1121.00078,GCF_016864355.1,Burkholderia pseudomallei  VB29710
BUMA.1121.00079,GCF_902141815.1,Burkholderia pseudomallei UKMR15
BUMA.1121.00080,GCF_902141835.1,Burkholderia pseudomallei UKMPMC2000
BUMA.1121.00081,GCF_000011705.1,Burkholderia mallei ATCC 23344
BUMA.1121.00082,GCF_000011545.1,Burkholderia pseudomallei K96243
BUMA.1121.00083,GCF_000959285.1,Burkholderia pseudomallei K96243
BUMA.1121.00084,GCF_000012785.1,Burkholderia pseudomallei 1710b
BUMA.1121.00085,GCF_000015465.1,Burkholderia mallei SAVP1
BUMA.1121.00086,GCF_000015625.1,Burkholderia mallei NCTC 10247
BUMA.1121.00087,GCF_000762285.1,Burkholderia mallei NCTC 10247
BUMA.1121.00088,GCF_000757035.2,Burkholderia pseudomallei Pasteur 52237
BUMA.1121.00089,GCF_000015925.1,Burkholderia pseudomallei 1106a
BUMA.1121.00090,GCF_000959265.1,Burkholderia pseudomallei 7894
BUMA.1121.00091,GCF_000756185.1,Burkholderia pseudomallei 576
BUMA.1121.00092,GCF_000260515.1,Burkholderia pseudomallei 1026b
BUMA.1121.00093,GCF_000959125.1,Burkholderia pseudomallei 1026b
BUMA.1121.00094,GCF_000294635.1,Burkholderia pseudomallei BPC006
BUMA.1121.00095,GCF_000494855.1,Burkholderia pseudomallei NCTC 13179
BUMA.1121.00096,GCF_000511895.1,Burkholderia pseudomallei NCTC 13178
BUMA.1121.00097,GCF_000521645.1,Burkholderia pseudomallei MSHR146
BUMA.1121.00098,GCF_000959225.1,Burkholderia pseudomallei MSHR2543
BUMA.1121.00099,GCF_000959205.1,Burkholderia pseudomallei MSHR491
BUMA.1121.00100,GCF_000959185.1,Burkholderia pseudomallei MSHR840
BUMA.1121.00101,GCF_000764575.1,Burkholderia pseudomallei NAU35A-3
BUMA.1121.00102,GCF_000959345.1,Burkholderia pseudomallei PB08298010
BUMA.1121.00103,GCF_000583835.1,Burkholderia pseudomallei MSHR520
BUMA.1121.00104,GCF_000755945.1,Burkholderia pseudomallei MSHR5858
BUMA.1121.00105,GCF_000755925.1,Burkholderia pseudomallei HBPUB10134a
BUMA.1121.00106,GCF_000755905.1,Burkholderia pseudomallei HBPUB10303a
BUMA.1121.00107,GCF_000770495.1,Burkholderia pseudomallei TSV 48
BUMA.1121.00108,GCF_000770395.1,Burkholderia pseudomallei MSHR62
BUMA.1121.00109,GCF_000770515.1,Burkholderia pseudomallei K42
BUMA.1121.00110,GCF_000770455.1,Burkholderia pseudomallei B03
BUMA.1121.00111,GCF_002111125.1,Burkholderia pseudomallei  2008724860
BUMA.1121.00112,GCF_000770565.1,Burkholderia pseudomallei  TSV202
